# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.497433457583e-10       7.288971370474e-15       4.824765746074e-13       2.388249509793e-19       8.830470654430e-09       4.853203834978e-10      -2.509377216166e-12 
    3       1.411699322208e-10       1.234174325249e-14       6.070029497478e-13       4.778817607919e-19       5.420750624376e-09       3.460208504097e-10      -2.207163433651e-12 
    4       1.326985440255e-10       1.440969147299e-14       6.279141273613e-13       7.969766811304e-19       3.767880112970e-09       2.634471859742e-10      -1.760639477912e-12 
    5       1.259785794549e-10       1.332581698276e-14       5.880578557802e-13       1.196396455411e-18       2.812695735108e-09       2.090798467981e-10      -1.306785677510e-12 
    6       1.210218065540e-10       1.028293852694e-14       5.175157155573e-13       1.676480979760e-18       2.197427640415e-09       1.707510509357e-10      -8.929267846997e-13 
    7       1.175335589873e-10       6.816414990407e-15       4.367018174024e-13       2.237612040579e-18       1.773127828461e-09       1.424454564001e-10      -5.431641488180e-13 
    8       1.151948173166e-10       4.029717100975e-15       3.578767176249e-13       2.880200834476e-18       1.465597906801e-09       1.208103063748e-10      -2.682597725711e-13 
    9       1.137606343045e-10       2.331820702536e-15       2.883082844940e-13       3.604674763915e-18       1.234035987928e-09       1.038259204525e-10      -6.983654523000e-14 
   10       1.130170225493e-10       1.571331832069e-15       2.320752233311e-13       4.411464029057e-18       1.054508907634e-09       9.023895973631e-11       5.743383014210e-14 
   11       1.128244961770e-10       1.347542415078e-15       1.908553243915e-13       5.300988542254e-18       8.892369457628e-10       7.950991971690e-11       1.231403351313e-13 
   12       1.130747876450e-10       1.291214016813e-15       1.643755660457e-13       6.273645676264e-18       7.770156730824e-10       7.028603277754e-11       1.419073638972e-13 
   13       1.136475643429e-10       1.204972144895e-15       1.508651780000e-13       7.329799321064e-18       6.848932484836e-10       6.275027795537e-11       1.274937249771e-13 
   14       1.144444165904e-10       1.060853668888e-15       1.477100183356e-13       8.469770668695e-18       6.082436900221e-10       5.621650148983e-11       9.262015469868e-14 
   15       1.154714342874e-10       9.185818833011e-16       1.519683317768e-13       9.693831073072e-18       5.437241937306e-10       5.075778850065e-11       4.950583104097e-14 
   16       1.166900718410e-10       8.393008441390e-16       1.606162204855e-13       1.100219724514e-17       4.888668141653e-10       4.613124981397e-11       7.231491629844e-15 
   17       1.180170642157e-10       8.404116797480e-16       1.710940673743e-13       1.239502894663e-17       4.418073298538e-10       4.213626264190e-11      -2.787089920284e-14 
   18       1.194560550233e-10       8.946117445362e-16       1.816055346072e-13       1.387242801881e-17       4.009609951566e-10       3.858638901934e-11      -5.225805246339e-14 
   19       1.210152180954e-10       9.692886436310e-16       1.911756366380e-13       1.543444726246e-17       3.656799147248e-10       3.545250336409e-11      -6.503628762589e-14 
   20       1.226390165276e-10       1.031002552597e-15       1.990247410076e-13       1.708108219426e-17       3.346050308525e-10       3.268258191098e-11      -6.701525680074e-14 
   21       1.243394452081e-10       1.082781073436e-15       2.052199542510e-13       1.881229619799e-17       3.072487118967e-10       3.023274523963e-11      -6.033047824875e-14 
   22       1.261160485235e-10       1.142824895415e-15       2.102143114892e-13       2.062801067607e-17       2.829568635715e-10       2.802173547551e-11      -4.833418213787e-14 
   23       1.279577000649e-10       1.230377274062e-15       2.144813642261e-13       2.252813494886e-17       2.613958234309e-10       2.601877632651e-11      -3.398006257913e-14 
   24       1.298319665648e-10       1.363815718182e-15       2.185681762845e-13       2.451255635965e-17       2.420675092620e-10       2.419049748903e-11      -2.037424436946e-14 
   25       1.317561320094e-10       1.543554864843e-15       2.229372638818e-13       2.658117513637e-17       2.247449117526e-10       2.254575728309e-11      -9.357017017007e-15 
   26       1.337430596092e-10       1.762665469112e-15       2.279884705967e-13       2.873389228519e-17       2.091148480662e-10       2.108617273380e-11      -2.260480496287e-15 
   27       1.357736026118e-10       2.014796641235e-15       2.337575856858e-13       3.097064013959e-17       1.949899746501e-10       1.977850902338e-11       7.198777796848e-16 
   28       1.378115882306e-10       2.293591833247e-15       2.400938638149e-13       3.329137462911e-17       1.821268870531e-10       1.857182527984e-11      -3.267961405643e-17 
   29       1.398667517622e-10       2.598545385799e-15       2.466979476115e-13       3.569611047371e-17       1.704599915957e-10       1.746188565669e-11      -3.713956140111e-15 
   30       1.419535107986e-10       2.930846861723e-15       2.531289061056e-13       3.818490149841e-17       1.598641123664e-10       1.645032470459e-11      -9.097910660593e-15 
   31       1.440758893987e-10       3.291065324558e-15       2.588645383805e-13       4.075784053672e-17       1.501232421163e-10       1.552946344932e-11      -1.474760844903e-14 
   32       1.462368235329e-10       3.677082132203e-15       2.635170166819e-13       4.341508294353e-17       1.411871679743e-10       1.469007761053e-11      -1.979947292692e-14 
   33       1.484296082851e-10       4.085283243016e-15       2.666868321605e-13       4.615684027463e-17       1.329927907501e-10       1.391461507288e-11      -2.344606659776e-14 
   34       1.506413400369e-10       4.512556531815e-15       2.679909656730e-13       4.898337405136e-17       1.254255455039e-10       1.318158316505e-11      -2.494642469438e-14 
   35       1.528786010530e-10       4.961627199657e-15       2.673717755986e-13       5.189497738598e-17       1.184467634941e-10       1.249150878355e-11      -2.440102224819e-14 
   36       1.551491014769e-10       5.437658500959e-15       2.648987972894e-13       5.489199480343e-17       1.120005150299e-10       1.184919081270e-11      -2.225864325583e-14 
   37       1.574551545643e-10       5.945982057705e-15       2.606827576353e-13       5.797480726219e-17       1.060029713366e-10       1.125650994628e-11      -1.907200084483e-14 
   38       1.597971985948e-10       6.488859853992e-15       2.548468165702e-13       6.114374877379e-17       1.004386737114e-10       1.071232426725e-11      -1.531894520421e-14 
   39       1.621702047739e-10       7.067697167370e-15       2.475513528531e-13       6.439916752203e-17       9.529000076621e-11       1.021198992897e-11      -1.153723295453e-14 
   40       1.645618443403e-10       7.683907552151e-15       2.390055090238e-13       6.774145124928e-17       9.050788368262e-11       9.746974544032e-12      -8.381756722111e-15 
   41       1.669581414920e-10       8.338665491446e-15       2.294076956805e-13       7.117098891321e-17       8.602890942341e-11       9.307575019338e-12      -6.459745385648e-15 
