# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494736604605e-10       7.288587251468e-15       4.814060983244e-13       0.000000000000e+00       8.828539356425e-09       4.855172585386e-10      -2.509352861780e-12 
    3       1.409042131944e-10       1.234099350113e-14       6.057014365411e-13       0.000000000000e+00       5.419359502513e-09       3.461129534972e-10      -2.207137017427e-12 
    4       1.324477877850e-10       1.440855947233e-14       6.265533789295e-13       0.000000000000e+00       3.766794039214e-09       2.634945416866e-10      -1.760615057908e-12 
    5       1.257461820036e-10       1.332428589912e-14       5.867507530202e-13       0.000000000000e+00       2.811803930559e-09       2.091046464289e-10      -1.306764714422e-12 
    6       1.208086214402e-10       1.028096063014e-14       5.163317635685e-13       0.000000000000e+00       2.196671723918e-09       1.707632457259e-10      -8.929091594829e-13 
    7       1.173394748759e-10       6.813914195696e-15       4.356759481923e-13       0.000000000000e+00       1.772472653492e-09       1.424501535807e-10      -5.431486776631e-13 
    8       1.150192480051e-10       4.026609243786e-15       3.570189018297e-13       0.000000000000e+00       1.465020905066e-09       1.208102431291e-10      -2.682449054695e-13 
    9       1.136028452897e-10       2.328027556986e-15       2.876114120586e-13       0.000000000000e+00       1.233522036980e-09       1.038227253475e-10      -6.982092232168e-14 
   10       1.128762390140e-10       1.566778625483e-15       2.315216996972e-13       0.000000000000e+00       1.054047221012e-09       9.023376430274e-11       5.745114705726e-14 
   11       1.126997950248e-10       1.342145411700e-15       1.904220888471e-13       0.000000000000e+00       8.888686766233e-10       7.950529586475e-11       1.231595566768e-13 
   12       1.129653772029e-10       1.284871077458e-15       1.640375532751e-13       0.000000000000e+00       7.766810049437e-10       7.028067369921e-11       1.419287906674e-13 
   13       1.135526210463e-10       1.197564092949e-15       1.505979552083e-13       0.000000000000e+00       6.845872570949e-10       6.274433268113e-11       1.275169948765e-13 
   14       1.143631489815e-10       1.052254986028e-15       1.474915639974e-13       0.000000000000e+00       6.079624505567e-10       5.621034056646e-11       9.264444758713e-14 
   15       1.154029865856e-10       9.086744045271e-16       1.517795934528e-13       0.000000000000e+00       5.434645202757e-10       5.075150132456e-11       4.953001677349e-14 
   16       1.166338020659e-10       8.279829520711e-16       1.604413434796e-13       0.000000000000e+00       4.886260893557e-10       4.612483990866e-11       7.254359685172e-15 
   17       1.179721808681e-10       8.275976362494e-16       1.709204798206e-13       0.000000000000e+00       4.415833777370e-10       4.212975655992e-11      -2.785052644402e-14 
   18       1.194218956799e-10       8.802238979696e-16       1.814238047630e-13       0.000000000000e+00       4.007520517593e-10       3.857995939471e-11      -5.224119440180e-14 
   19       1.209910968838e-10       9.532440593435e-16       1.909786281489e-13       0.000000000000e+00       3.654842957908e-10       3.544624045091e-11      -6.502359668368e-14 
   20       1.226242718374e-10       1.013206691044e-15       1.988081720694e-13       0.000000000000e+00       3.344214753814e-10       3.267641481594e-11      -6.700685801951e-14 
   21       1.243334142917e-10       1.063128096077e-15       2.049812556556e-13       0.000000000000e+00       3.070760656364e-10       3.022664547915e-11      -6.032597870671e-14 
   22       1.261181304082e-10       1.121198267500e-15       2.099524930793e-13       0.000000000000e+00       2.827941481571e-10       2.801577895821e-11      -4.833268101042e-14 
   23       1.279672757982e-10       1.206660351066e-15       2.141964430717e-13       0.000000000000e+00       2.612421396800e-10       2.601300893414e-11      -3.398046873562e-14 
   24       1.298484247856e-10       1.337896174428e-15       2.182610592732e-13       0.000000000000e+00       2.419221129073e-10       2.418489495209e-11      -2.037542586249e-14 
   25       1.317788695381e-10       1.515324129620e-15       2.226094815247e-13       0.000000000000e+00       2.246071145792e-10       2.254029167986e-11      -9.357875470859e-15 
   26       1.337715124620e-10       1.732018382108e-15       2.276420867771e-13       0.000000000000e+00       2.089840583661e-10       2.108083514247e-11      -2.260045987101e-15 
   27       1.358072010065e-10       1.981626804149e-15       2.333950395692e-13       0.000000000000e+00       1.948656534184e-10       1.977329702375e-11       7.223211173874e-16 
   28       1.378497660324e-10       2.257790163297e-15       2.397178787825e-13       0.000000000000e+00       1.820085758613e-10       1.856674087802e-11      -2.785472939083e-17 
   29       1.399089429560e-10       2.560001308844e-15       2.463114074640e-13       0.000000000000e+00       1.703472422525e-10       1.745693574090e-11      -3.706677061009e-15 
   30       1.419991767149e-10       2.889448623576e-15       2.527347598681e-13       0.000000000000e+00       1.597565159753e-10       1.644552320586e-11      -9.088450329575e-15 
   31       1.441245398979e-10       3.246700204767e-15       2.584657422844e-13       0.000000000000e+00       1.500204703539e-10       1.552482958521e-11      -1.473659641431e-14 
   32       1.462879672822e-10       3.629637610371e-15       2.631165749087e-13       0.000000000000e+00       1.410889030523e-10       1.468561754477e-11      -1.978764859411e-14 
   33       1.484827513340e-10       4.034647600523e-15       2.662877655179e-13       0.000000000000e+00       1.328987336794e-10       1.391031368900e-11      -2.343419275949e-14 
   34       1.506959981346e-10       4.458618449329e-15       2.675962520724e-13       0.000000000000e+00       1.253354407870e-10       1.317740635364e-11      -2.493523482297e-14 
   35       1.529342896818e-10       4.904272636366e-15       2.669843000063e-13       0.000000000000e+00       1.183603658704e-10       1.248742828219e-11      -2.439106202961e-14 
   36       1.552053426421e-10       5.376769284677e-15       2.645212868503e-13       0.000000000000e+00       1.119175990733e-10       1.184519475102e-11      -2.225017315772e-14 
   37       1.575114862586e-10       5.881436021589e-15       2.603177488409e-13       0.000000000000e+00       1.059233455111e-10       1.125260324057e-11      -1.906497351894e-14 
   38       1.598531692852e-10       6.420534004578e-15       2.544967581455e-13       0.000000000000e+00       1.003621483770e-10       1.070851326989e-11      -1.531316225037e-14 
   39       1.622253794826e-10       6.995468816945e-15       2.472186130139e-13       0.000000000000e+00       9.521639018219e-11       1.020827782685e-11      -1.153237756474e-14 
   40       1.646158157488e-10       7.607654668457e-15       2.386923443150e-13       0.000000000000e+00       9.043702221511e-11       9.743360954260e-12      -8.377377252060e-15 
   41       1.670105332674e-10       8.258266774787e-15       2.291162493041e-13       0.000000000000e+00       8.596065925017e-11       9.304056259937e-12      -6.455284911420e-15 
   42       1.694147579238e-10       8.947405524986e-15       2.184690409145e-13       0.000000000000e+00       8.177414783710e-11       8.889485004812e-12      -5.749390347009e-15 
   43       1.718376792412e-10       9.674657438014e-15       2.066557307397e-13       0.000000000000e+00       7.786640213788e-11       8.500307845897e-12      -6.019983880381e-15 
