# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.559009411639e-10       7.381346103709e-15       8.289147578756e-13       0.000000000000e+00       1.004945106650e-08       4.336687236078e-10      -2.526010716745e-12 
    3       2.454963160593e-10       1.251779932162e-14       1.031267381615e-12       0.000000000000e+00       6.325215302570e-09       3.268363902454e-10      -2.225438386460e-12 
    4       2.319637709577e-10       1.463079114976e-14       1.073611908940e-12       0.000000000000e+00       4.484493181574e-09       2.577350792076e-10      -1.778069490044e-12 
    5       2.193022077477e-10       1.354709745799e-14       1.017222173960e-12       0.000000000000e+00       3.406509233236e-09       2.098876923516e-10      -1.322406068064e-12 
    6       2.082778164279e-10       1.047464830045e-14       9.060926448824e-13       0.000000000000e+00       2.704397554549e-09       1.749897929518e-10      -9.064917973317e-13 
    7       1.988601621071e-10       6.967472901072e-15       7.721067181865e-13       0.000000000000e+00       2.215282369929e-09       1.485225493556e-10      -5.549136311025e-13 
    8       1.908472796302e-10       4.140202767513e-15       6.361070900599e-13       0.000000000000e+00       1.857235805967e-09       1.278859246576e-10      -2.787366503028e-13 
    9       1.840054248600e-10       2.405167297522e-15       5.114820942710e-13       0.000000000000e+00       1.584820698118e-09       1.114582780164e-10      -7.971000250346e-14 
   10       1.781291864676e-10       1.611825978326e-15       4.063485294003e-13       0.000000000000e+00       1.371357921970e-09       9.816394448012e-11       4.752840170284e-14 
   11       1.730897139078e-10       1.362486479708e-15       3.246635678586e-13       0.000000000000e+00       1.119577155042e-09       8.627702917905e-11       1.129032574836e-13 
   12       1.687397195869e-10       1.293557685596e-15       2.670658125894e-13       0.000000000000e+00       9.867801335165e-10       7.697091835110e-11       1.308826580257e-13 
   13       1.649433057874e-10       1.212790165231e-15       2.317039634596e-13       0.000000000000e+00       8.770971301780e-10       6.932175443482e-11       1.156546780152e-13 
   14       1.616067484380e-10       1.093204315558e-15       2.151756846770e-13       0.000000000000e+00       7.852898019657e-10       6.260189900021e-11       8.016009166028e-14 
   15       1.587213518425e-10       9.900327034794e-16       2.133288891674e-13       0.000000000000e+00       7.075596031007e-10       5.696786243875e-11       3.682982194745e-14 
   16       1.562087361964e-10       9.563095670380e-16       2.217456612235e-13       0.000000000000e+00       6.410903875967e-10       5.216087714649e-11      -5.150046596449e-15 
   17       1.539870572464e-10       1.001562589056e-15       2.364383949870e-13       0.000000000000e+00       5.837481036559e-10       4.797267340047e-11      -3.942320145280e-14 
   18       1.520537274390e-10       1.094023816518e-15       2.542560166582e-13       0.000000000000e+00       5.336868805140e-10       4.421470190602e-11      -6.250667235184e-14 
   19       1.504275143983e-10       1.202389184017e-15       2.732574038834e-13       0.000000000000e+00       4.902364178067e-10       4.086936107181e-11      -7.362482267514e-14 
   20       1.490185852770e-10       1.297446101731e-15       2.915673831027e-13       0.000000000000e+00       4.517547381632e-10       3.789540476879e-11      -7.375685004546e-14 
   21       1.478432071371e-10       1.387379946924e-15       3.086418509874e-13       0.000000000000e+00       4.176897243391e-10       3.525028882710e-11      -6.522231730608e-14 
   22       1.468892916506e-10       1.495996443799e-15       3.244402320188e-13       0.000000000000e+00       3.872870926791e-10       3.284850910236e-11      -5.157650735220e-14 
   23       1.461481126850e-10       1.644070137799e-15       3.391661270000e-13       0.000000000000e+00       3.601653094935e-10       3.066093910729e-11      -3.592472399450e-14 
   24       1.455749460486e-10       1.849814101581e-15       3.531874198831e-13       0.000000000000e+00       3.357289869353e-10       2.865604092034e-11      -2.149382065395e-14 
   25       1.451863759807e-10       2.112574573105e-15       3.669133208837e-13       0.000000000000e+00       3.137173581792e-10       2.684451941747e-11      -1.015335694394e-14 
   26       1.449850291896e-10       2.424067144165e-15       3.807519367384e-13       0.000000000000e+00       2.937589017463e-10       2.522768729331e-11      -3.204670264702e-15 
   27       1.449499964711e-10       2.778314005216e-15       3.947385856949e-13       0.000000000000e+00       2.756342622744e-10       2.376845933746e-11      -7.457446645425e-16 
   28       1.450377315636e-10       3.169824488974e-15       4.087324786707e-13       0.000000000000e+00       2.590503736742e-10       2.241070256917e-11      -2.252722065155e-15 
   29       1.452613695886e-10       3.598598734429e-15       4.224192746303e-13       0.000000000000e+00       2.439359851534e-10       2.115232252769e-11      -6.802326218011e-15 
   30       1.456318777333e-10       4.066187687016e-15       4.353508220169e-13       0.000000000000e+00       2.301421917100e-10       1.999904293280e-11      -1.302943983491e-14 
   31       1.461412626870e-10       4.573413899632e-15       4.470072762507e-13       0.000000000000e+00       2.174034716570e-10       1.894616514356e-11      -1.934729915079e-14 
   32       1.467934251807e-10       5.118123961397e-15       4.569689670796e-13       0.000000000000e+00       2.056635554379e-10       1.798354969895e-11      -2.482822659868e-14 
   33       1.475803267752e-10       5.696476270780e-15       4.647993495842e-13       0.000000000000e+00       1.948479907318e-10       1.709031058672e-11      -2.862535558590e-14 
   34       1.484825099978e-10       6.305282059857e-15       4.700900513961e-13       0.000000000000e+00       1.848153896963e-10       1.624126817461e-11      -2.997585035642e-14 
   35       1.495071480735e-10       6.948411992352e-15       4.727867986014e-13       0.000000000000e+00       1.755210911143e-10       1.543819463141e-11      -2.903681760585e-14 
   36       1.506605661752e-10       7.632719952681e-15       4.729818498593e-13       0.000000000000e+00       1.668971444797e-10       1.468852636599e-11      -2.635516605169e-14 
   37       1.519403584334e-10       8.365226004994e-15       4.708197359545e-13       0.000000000000e+00       1.588388661958e-10       1.399625173223e-11      -2.259323046208e-14 
   38       1.533472927734e-10       9.148902535308e-15       4.664516457113e-13       0.000000000000e+00       1.513299411219e-10       1.336006533158e-11      -1.829537094517e-14 
   39       1.548754144409e-10       9.985546191141e-15       4.600729356896e-13       0.000000000000e+00       1.443505875314e-10       1.277396838769e-11      -1.406113669505e-14 
   40       1.565075407182e-10       1.087689759265e-14       4.519400844170e-13       0.000000000000e+00       1.378393677567e-10       1.222726423821e-11      -1.061789146675e-14 
   41       1.582229309648e-10       1.182442299993e-14       4.422964451268e-13       0.000000000000e+00       1.317156351687e-10       1.170798465882e-11      -8.634417568631e-15 
   42       1.600257746337e-10       1.282859017783e-14       4.311115899104e-13       0.000000000000e+00       1.259644856069e-10       1.121544616748e-11      -8.069880970671e-15 
   43       1.619242441838e-10       1.388934535733e-14       4.182633063286e-13       0.000000000000e+00       1.205732835174e-10       1.075112595313e-11      -8.626144433267e-15 
   44       1.639221723038e-10       1.500628347113e-14       4.036065532483e-13       0.000000000000e+00       1.155060916637e-10       1.031507435219e-11      -9.918317114506e-15 
   45       1.660200979657e-10       1.617893119280e-14       3.869800355922e-13       0.000000000000e+00       1.107172257625e-10       9.906216696632e-12      -1.153122382303e-14 
   46       1.682197954835e-10       1.740774725880e-14       3.682322581156e-13       0.000000000000e+00       1.062011675661e-10       9.523665764536e-12      -1.322197017597e-14 
   47       1.705203646406e-10       1.869338489444e-14       3.472003836906e-13       0.000000000000e+00       1.019543855129e-10       9.165585654469e-12      -1.476853379818e-14 
   48       1.729165323390e-10       2.003640967620e-14       3.237014597322e-13       0.000000000000e+00       9.796024105316e-11       8.828697338510e-12      -1.591111863102e-14 
   49       1.753983057361e-10       2.143729571640e-14       2.975312029362e-13       0.000000000000e+00       9.418800288763e-11       8.508176352264e-12      -1.635019780807e-14 
   50       1.779547751971e-10       2.289649349960e-14       2.685192391166e-13       0.000000000000e+00       9.060249507890e-11       8.199073140035e-12      -1.584478133302e-14 
   51       1.805875448222e-10       2.441466395080e-14       2.367153188782e-13       0.000000000000e+00       8.719841574743e-11       7.901265959958e-12      -1.454320529874e-14 
   52       1.833003479091e-10       2.599250130737e-14       2.022515474269e-13       0.000000000000e+00       8.397362984878e-11       7.615675539891e-12      -1.273874865319e-14 
   53       1.860950677792e-10       2.763066658742e-14       1.652917544891e-13       0.000000000000e+00       8.091887564611e-11       7.342829996316e-12      -1.077994989533e-14 
   54       1.889715861999e-10       2.932978714633e-14       1.260329357587e-13       0.000000000000e+00       7.801727936642e-11       7.082834178714e-12      -9.073366412102e-15 
   55       1.919287068879e-10       3.109039226747e-14       8.465638027271e-14       0.000000000000e+00       7.524976308994e-11       6.835498110134e-12      -7.987581357176e-15 
   56       1.949675419277e-10       3.291270221294e-14       4.116353281918e-14       0.000000000000e+00       7.261395350095e-11       6.600829902709e-12      -7.530977625190e-15 
   57       1.980887011110e-10       3.479678599175e-14      -4.498118963687e-15       0.000000000000e+00       7.010912035891e-11       6.378611597198e-12      -7.598749210589e-15 
   58       2.012911832566e-10       3.674261786247e-14      -5.238881054671e-14       0.000000000000e+00       6.773044464639e-11       6.168226870408e-12      -8.063575882495e-15 
   59       2.045722665183e-10       3.875007439759e-14      -1.025770193506e-13       0.000000000000e+00       6.546876283187e-11       5.968636578123e-12      -8.774535023331e-15 
   60       2.079273986933e-10       4.081893154787e-14      -1.551399835870e-13       0.000000000000e+00       6.331031113239e-11       5.778354298025e-12      -9.556013467444e-15 
   61       2.113518718258e-10       4.294885710766e-14      -2.101489179143e-13       0.000000000000e+00       6.124070329938e-11       5.595853875139e-12      -1.024431188607e-14 
   62       2.148465334155e-10       4.513939277588e-14      -2.676196087738e-13       0.000000000000e+00       5.925848588270e-11       5.420954284429e-12      -1.080952083448e-14 
   63       2.184131683346e-10       4.738996284071e-14      -3.275515998715e-13       0.000000000000e+00       5.736418562767e-11       5.253703630625e-12      -1.125919462849e-14 
   64       2.220527756278e-10       4.969987540281e-14      -3.899425494355e-13       0.000000000000e+00       5.555622543297e-11       5.093964038415e-12      -1.160317843734e-14 
   65       2.257655154337e-10       5.206831929367e-14      -4.547882634984e-13       0.000000000000e+00       5.383080293988e-11       4.941400902485e-12      -1.185371607826e-14 
   66       2.295506559079e-10       5.449436099410e-14      -5.220827291800e-13       0.000000000000e+00       5.218176912142e-11       4.795472137558e-12      -1.202555781113e-14 
   67       2.334065201452e-10       5.697694155259e-14      -5.918181479697e-13       0.000000000000e+00       5.060050687161e-11       4.655417428431e-12      -1.213606813309e-14 
   68       2.373312430680e-10       5.951499835556e-14      -6.639850282017e-13       0.000000000000e+00       4.907832519771e-11       4.520470116612e-12      -1.220295951853e-14 
   69       2.413253388271e-10       6.210786597798e-14      -7.385724098448e-13       0.000000000000e+00       4.761447652522e-11       4.390566745248e-12      -1.223671944876e-14 
   70       2.453895606632e-10       6.475495139298e-14      -8.155677452606e-13       0.000000000000e+00       4.620955326639e-11       4.265762635566e-12      -1.224683549572e-14 
   71       2.495241051883e-10       6.745561641610e-14      -8.949568782124e-13       0.000000000000e+00       4.486305990386e-11       4.146017005908e-12      -1.224407983930e-14 
   72       2.537285800231e-10       7.020917781691e-14      -9.767240786620e-13       0.000000000000e+00       4.357335591745e-11       4.031187915799e-12      -1.224055634441e-14 
   73       2.580019714349e-10       7.301490743058e-14      -1.060852077566e-12       0.000000000000e+00       4.233759871112e-11       3.921027210013e-12      -1.224974763818e-14 
   74       2.623426119753e-10       7.587203226939e-14      -1.147322101671e-12       0.000000000000e+00       4.115168653978e-11       3.815175462645e-12      -1.228656218695e-14 
   75       2.667481481178e-10       7.877973463431e-14      -1.236113908313e-12       0.000000000000e+00       4.001020143623e-11       3.713156921179e-12      -1.236738137347e-14 
   76       2.712162382754e-10       8.173694565894e-14      -1.327199870271e-12       0.000000000000e+00       3.890780687494e-11       3.614507272925e-12      -1.250524197220e-14 
   77       2.757468653420e-10       8.474168223007e-14      -1.420525908124e-12       0.000000000000e+00       3.784386117022e-11       3.519195018823e-12      -1.269426529439e-14 
   78       2.803403890175e-10       8.779158879233e-14      -1.516027127887e-12       0.000000000000e+00       3.681854557169e-11       3.427268110574e-12      -1.292246096018e-14 
   79       2.849968357350e-10       9.088412913127e-14      -1.613633376674e-12       0.000000000000e+00       3.583145735836e-11       3.338725650439e-12      -1.317628778079e-14 
   80       2.897158812755e-10       9.401658224920e-14      -1.713269155496e-12       0.000000000000e+00       3.488158259607e-11       3.253515558935e-12      -1.344060108306e-14 
   81       2.944968333826e-10       9.718603824081e-14      -1.814853532042e-12       0.000000000000e+00       3.396726889492e-11       3.171532242534e-12      -1.369860003393e-14 
   82       2.993386143773e-10       1.003893941690e-13      -1.918300053468e-12       0.000000000000e+00       3.308619816672e-11       3.092614261364e-12      -1.393177496496e-14 
   83       3.042397437727e-10       1.036233499404e-13      -2.023516659188e-12       0.000000000000e+00       3.223535938241e-11       3.016541996903e-12      -1.411985469685e-14 
   84       3.091987700559e-10       1.068847351229e-13      -2.130417427351e-12       0.000000000000e+00       3.141181312200e-11       2.943094461377e-12      -1.424501131270e-14 
   85       3.142156863603e-10       1.101715606820e-13      -2.238960242725e-12       0.000000000000e+00       3.061519052701e-11       2.872235655625e-12      -1.430539077149e-14 
   86       3.192907186983e-10       1.134821348489e-13      -2.349115242489e-12       0.000000000000e+00       2.984556059968e-11       2.803954972906e-12      -1.430373923503e-14 
   87       3.244238879686e-10       1.168147490980e-13      -2.460853647775e-12       0.000000000000e+00       2.910266151442e-11       2.738209485446e-12      -1.424336365543e-14 
   88       3.296150001205e-10       1.201676795844e-13      -2.574147875347e-12       0.000000000000e+00       2.838588668264e-11       2.674922606121e-12      -1.412815065338e-14 
