# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494812015366e-10       7.289310941907e-15       4.814315008122e-13       2.389686778799e-19       8.831418167676e-09       4.856307758679e-10      -2.509443381844e-12 
    3       1.409141657747e-10       1.234240657933e-14       6.057468045612e-13       4.781693027585e-19       5.421393927120e-09       3.462112798714e-10      -2.207236377342e-12 
    4       1.324607276553e-10       1.441053513766e-14       6.266148973483e-13       7.974561125331e-19       3.768361337712e-09       2.635807139799e-10      -1.760708374186e-12 
    5       1.257627088194e-10       1.332665611228e-14       5.868233480792e-13       1.197115965049e-18       2.813074052501e-09       2.091809239313e-10      -1.306845423845e-12 
    6       1.208293194907e-10       1.028364259899e-14       5.164102365891e-13       1.677488896826e-18       2.197734616593e-09       1.708312399959e-10      -8.929749561725e-13 
    7       1.173648273679e-10       6.816939151695e-15       4.357559396909e-13       2.238956858950e-18       1.773383075216e-09       1.425111812848e-10      -5.432003923631e-13 
    8       1.150497706120e-10       4.030079767203e-15       3.570976572247e-13       2.881931235073e-18       1.465814115349e-09       1.208654412632e-10      -2.682855087987e-13 
    9       1.136389262300e-10       2.332065660170e-15       2.876881210614e-13       3.606839634911e-18       1.234221535767e-09       1.038729567157e-10      -6.985442685913e-14 
   10       1.129181987605e-10       1.571501186990e-15       2.315970667382e-13       4.414112483767e-18       1.054669546362e-09       9.027965822425e-11       5.742070832881e-14 
   11       1.127479730086e-10       1.347667563536e-15       1.904981109891e-13       5.304169934581e-18       8.893888675086e-10       7.954665270943e-11       1.231293911288e-13 
   12       1.130200279572e-10       1.291319697232e-15       1.641170893718e-13       6.277409613622e-18       7.771502837022e-10       7.031872333545e-11       1.418959013712e-13 
   13       1.136139860445e-10       1.205084302703e-15       1.506837723769e-13       7.334195674738e-18       6.850132455412e-10       6.277949280290e-11       1.274804071920e-13 
   14       1.144314290273e-10       1.061001468382e-15       1.475862091582e-13       8.474849581664e-18       6.083512267845e-10       5.624285351769e-11       9.260400545477e-14 
   15       1.154783823386e-10       9.187917792026e-16       1.518853897670e-13       9.699642965341e-18       5.438210057628e-10       5.078165772574e-11       4.948696755677e-14 
   16       1.167164491618e-10       8.395896063641e-16       1.605600559212e-13       1.100879281668e-17       4.889543231019e-10       4.615295120415e-11       7.210722814288e-15 
   17       1.180622511197e-10       8.407838236431e-16       1.710532808354e-13       1.240245917807e-17       4.418867146660e-10       4.215603771802e-11      -2.789234031901e-14 
   18       1.195194693565e-10       8.950620512337e-16       1.815716039366e-13       1.388074416997e-17       4.010332226443e-10       3.860447635658e-11      -5.227886391372e-14 
   19       1.210962451206e-10       9.698109817332e-16       1.911418877465e-13       1.544370086916e-17       3.657458575214e-10       3.546913849768e-11      -6.505522143825e-14 
